id,address_state,application_type,emp_length,emp_title,grade,home_ownership,loan_status,member_id,purpose,sub_grade,term,verification_status,annual_income,dti,installment,int_rate,loan_amount,total_acc,total_payment,issue_date,last_credit_pull_date,last_payment_date,next_payment_date
253987,VA,INDIVIDUAL,2 years,Comcast,C,RENT,Fully Paid,253974,car,C1, 36 months,Not Verified,41000,0.1692,98.26,0.1103,3000,16,3498,8/2/2021,5/16/2021,10/6/2021,10/7/2021
450292,CT,INDIVIDUAL,1 year,Newcomb Spring,A,MORTGAGE,Fully Paid,553755,car,A2, 36 months,Not Verified,85000,0.0239,136.66,0.074,4400,19,4920,9/10/2021,2/16/2021,12/10/2021,12/11/2021
401775,GA,INDIVIDUAL,1 year,Chemlink Laboratories,A,MORTGAGE,Fully Paid,446077,car,A2, 36 months,Not Verified,28500,0.0223,265.13,0.0768,8500,10,9544,9/5/2021,12/5/2021,12/5/2021,12/6/2021
373881,TX,INDIVIDUAL,1 year,Jesuit College Preparatory School,A,MORTGAGE,Fully Paid,394401,car,A2, 36 months,Not Verified,40308,0.0578,155.96,0.0768,5000,19,5422,9/1/2021,11/2/2021,11/2/2021,11/3/2021
973780,TX,INDIVIDUAL,1 year,Diamond Offshore,A,MORTGAGE,Fully Paid,1195796,car,A2, 36 months,Not Verified,149400,0.0994,214.93,0.0662,7000,43,7737,11/10/2021,10/14/2021,10/14/2021,11/14/2021
750759,WI,INDIVIDUAL,1 year,BRP US Inc,A,MORTGAGE,Fully Paid,950147,car,A2, 36 months,Not Verified,54000,0.1129,60.84,0.0599,2000,18,2190,11/6/2021,6/14/2021,6/14/2021,7/14/2021
745149,OH,INDIVIDUAL,1 year,Independant Contractor,A,MORTGAGE,Fully Paid,943695,car,A3, 36 months,Not Verified,38400,0.0319,74.1,0.0699,2400,7,2667,11/5/2021,5/16/2021,5/14/2021,6/14/2021
775926,MO,INDIVIDUAL,1 year,Northwwind Engineering,A,MORTGAGE,Fully Paid,978223,car,A4, 36 months,Not Verified,60000,0.0242,149.29,0.0749,4800,6,5374,11/6/2021,6/14/2021,6/14/2021,7/14/2021
651079,RI,INDIVIDUAL,1 year,Fakouri Electrical,A,MORTGAGE,Fully Paid,832879,car,A4, 36 months,Not Verified,58000,0.2127,124.04,0.0729,4000,24,4466,11/1/2021,1/14/2021,1/14/2021,2/14/2021
627209,MD,INDIVIDUAL,10+ years,Second Empire Furniture Inc.,A,MORTGAGE,Fully Paid,803704,car,A1, 36 months,Not Verified,31000,0.0283,241.28,0.0542,8000,17,8686,10/12/2021,10/14/2021,12/13/2021,1/13/2022
781516,MO,INDIVIDUAL,10+ years,state of missouri department of correcti,A,MORTGAGE,Fully Paid,984370,car,A1, 36 months,Not Verified,33600,0.0161,90.48,0.0542,3000,15,3014,11/6/2021,11/7/2021,11/8/2021,11/9/2021
971771,CA,INDIVIDUAL,10+ years,"Stafford Meat Co., Inc.",A,MORTGAGE,Fully Paid,1193520,car,A1, 36 months,Not Verified,64320,0.025,243.49,0.0603,8000,17,8765,11/10/2021,5/16/2021,10/14/2021,11/14/2021
796355,RI,INDIVIDUAL,10+ years,Local 51,A,MORTGAGE,Fully Paid,1001198,car,A1, 36 months,Not Verified,79200,0.0218,150.8,0.0542,5000,28,5429,11/6/2021,4/16/2021,7/14/2021,8/14/2021
868443,DE,INDIVIDUAL,10+ years,Bank of America,A,MORTGAGE,Fully Paid,1082151,car,A1, 36 months,Not Verified,63996,0.0651,96.52,0.0542,3200,26,3468,11/9/2021,5/16/2021,4/14/2021,5/14/2021
683816,NY,INDIVIDUAL,10+ years,operating engineers local 158,A,MORTGAGE,Fully Paid,873188,car,A1, 36 months,Not Verified,72000,0.2075,223.19,0.0542,7400,23,7556,11/3/2021,11/9/2021,11/9/2021,11/10/2021
1023029,PA,INDIVIDUAL,10+ years,williams service co,A,MORTGAGE,Fully Paid,1251828,car,A1, 36 months,Not Verified,72000,0.1782,152.18,0.0603,5000,37,5478,11/11/2021,11/14/2021,12/14/2021,1/14/2022
886517,NM,INDIVIDUAL,10+ years,"C&E Concrete,inc.",A,MORTGAGE,Fully Paid,1102391,car,A1, 36 months,Not Verified,41784,0.1872,152.18,0.0603,5000,22,5478,11/9/2021,9/14/2021,10/14/2021,11/14/2021
1001581,TX,INDIVIDUAL,10+ years,BASF Corporation,A,MORTGAGE,Fully Paid,1227382,car,A1, 36 months,Not Verified,96000,0.238,182.62,0.0603,6000,27,6493,11/10/2021,5/16/2021,10/13/2021,11/13/2021
1004019,NY,INDIVIDUAL,10+ years,village of solvay dpw,A,MORTGAGE,Fully Paid,1230439,car,A1, 36 months,Not Verified,54000,0.2407,182.62,0.0603,6000,32,6569,11/10/2021,4/16/2021,8/14/2021,9/14/2021
675716,NV,INDIVIDUAL,10+ years,Gideon Toal/U.P.R Inc.,A,MORTGAGE,Fully Paid,863546,car,A1, 36 months,Not Verified,36000,0.2293,271.44,0.0542,9000,47,9772,11/2/2021,4/14/2021,3/14/2021,4/14/2021
887254,MN,INDIVIDUAL,10+ years,City of West St Paul,A,MORTGAGE,Fully Paid,1103400,car,A1, 36 months,Not Verified,114000,0.1658,219.14,0.0603,7200,52,7889,11/10/2021,5/16/2021,11/14/2021,12/14/2021
865714,TX,INDIVIDUAL,10+ years,Harris County,A,MORTGAGE,Fully Paid,1078994,car,A1, 36 months,Not Verified,48000,0.1732,170.41,0.0542,5650,32,6067,11/9/2021,5/16/2021,8/13/2021,9/13/2021
770503,LA,INDIVIDUAL,10+ years,LSU MEDICAL CENTER OF LOUISIANA,A,MORTGAGE,Fully Paid,972180,car,A2, 36 months,Not Verified,39600,0.1406,182.51,0.0599,6000,32,6194,11/6/2021,12/1/2021,12/1/2021,12/2/2021
548151,NJ,INDIVIDUAL,10+ years,ABERDEEN TWSP,A,MORTGAGE,Fully Paid,706758,car,A2, 36 months,Not Verified,108000,0.1976,107.69,0.0676,3500,37,3877,10/7/2021,5/16/2021,8/13/2021,9/13/2021
542312,FL,INDIVIDUAL,10+ years,Micros Systems Inc.,A,MORTGAGE,Fully Paid,699868,car,A2, 36 months,Not Verified,57431,0.0618,123.07,0.0676,4000,21,4431,10/7/2021,5/16/2021,7/13/2021,8/13/2021
1008323,AR,INDIVIDUAL,10+ years,Arkansas Department Of Correction,A,MORTGAGE,Fully Paid,1234988,car,A3, 36 months,Not Verified,32469,0.2935,186.67,0.0751,6000,16,6714,11/11/2021,12/15/2021,12/14/2021,1/14/2022
457893,AR,INDIVIDUAL,10+ years,Kroger,A,MORTGAGE,Fully Paid,569597,car,A3, 36 months,Not Verified,26000,0.0429,218.54,0.0774,7000,11,7867,9/11/2021,12/11/2021,12/11/2021,12/12/2021
451579,OH,INDIVIDUAL,10+ years,Alliance Data Systems,A,MORTGAGE,Fully Paid,556476,car,A3, 36 months,Not Verified,75000,0.0234,156.1,0.0774,5000,21,5584,9/10/2021,6/14/2021,12/3/2021,12/4/2021
1027822,KY,INDIVIDUAL,10+ years,City of Madisonville,A,MORTGAGE,Fully Paid,1257204,car,A3, 36 months,Not Verified,58000,0.2692,56,0.0751,1800,28,2013,11/11/2021,5/16/2021,8/14/2021,9/14/2021
700052,NC,INDIVIDUAL,10+ years,RCCG - Victory Temple,A,MORTGAGE,Fully Paid,891691,car,A3, 36 months,Not Verified,50000,0.203,308.41,0.0692,10000,32,11103,11/4/2021,11/15/2021,4/14/2021,5/14/2021
661459,OH,INDIVIDUAL,10+ years,Atkins and Pearce,A,MORTGAGE,Fully Paid,845936,car,A4, 36 months,Not Verified,48000,0.1988,201.57,0.0729,6500,24,7257,11/2/2021,2/14/2021,2/14/2021,3/14/2021
768140,CA,INDIVIDUAL,10+ years,Orchard Supply Hardware,A,MORTGAGE,Fully Paid,969361,car,A4, 36 months,Not Verified,73000,0.1433,155.51,0.0749,5000,23,5312,11/5/2021,12/12/2021,12/12/2021,12/1/2022
823069,CT,INDIVIDUAL,10+ years,Custom Phone Inc,A,MORTGAGE,Fully Paid,1031607,car,A4, 36 months,Not Verified,68000,0.0286,248.82,0.0749,8000,13,8615,11/7/2021,12/11/2021,12/11/2021,12/12/2021
761499,GA,INDIVIDUAL,10+ years,Greif LLC,A,MORTGAGE,Fully Paid,961964,car,A4, 36 months,Not Verified,112992,0.1825,248.82,0.0749,8000,25,8957,11/5/2021,8/14/2021,6/14/2021,7/14/2021
390651,VA,INDIVIDUAL,10+ years,Girard Engineering,A,MORTGAGE,Fully Paid,425903,car,A4, 36 months,Not Verified,135000,0.0518,255.58,0.0932,8000,14,9201,9/4/2021,7/15/2021,12/4/2021,12/5/2021
483645,GA,INDIVIDUAL,10+ years,AT&T,A,MORTGAGE,Fully Paid,615502,car,A4, 36 months,Not Verified,75181,0.1831,186.66,0.0751,6000,30,6720,10/2/2021,2/13/2021,2/13/2021,3/13/2021
866551,IL,INDIVIDUAL,10+ years,City of Chicago,A,MORTGAGE,Fully Paid,1079988,car,A4, 36 months,Not Verified,110400,0.1916,93.31,0.0749,3000,41,3359,11/9/2021,9/14/2021,9/14/2021,10/14/2021
394295,CA,INDIVIDUAL,10+ years,Downey welding,A,MORTGAGE,Fully Paid,432897,car,A5, 36 months,Not Verified,48000,0.1257,481.42,0.0963,15000,31,17331,9/4/2021,12/5/2021,12/5/2021,12/6/2021
472637,TX,INDIVIDUAL,2 years,Accenture,A,MORTGAGE,Fully Paid,596861,car,A1, 36 months,Not Verified,54000,0.0267,268.83,0.0705,8700,15,9538,9/12/2021,11/12/2021,11/12/2021,11/1/2022
732697,CO,INDIVIDUAL,2 years,Corvirtus,A,MORTGAGE,Fully Paid,928926,car,A1, 36 months,Not Verified,85000,0.04,168.9,0.0542,5600,36,6080,11/4/2021,10/15/2021,5/14/2021,6/14/2021
628369,TX,INDIVIDUAL,2 years,Cricket Communications,A,MORTGAGE,Fully Paid,805177,car,A3, 36 months,Not Verified,36000,0.1997,54.9,0.0617,1800,21,1977,10/12/2021,12/13/2021,12/13/2021,1/13/2022
842807,NY,INDIVIDUAL,2 years,walmart distribution,A,MORTGAGE,Fully Paid,1053506,car,A4, 36 months,Not Verified,36000,0.1883,217.72,0.0749,7000,13,7838,11/8/2021,5/16/2021,8/14/2021,9/14/2021
564180,CA,INDIVIDUAL,3 years,California Department of Justice,A,MORTGAGE,Fully Paid,725950,car,A1, 36 months,Not Verified,120000,0.052,140.76,0.0639,4600,42,5068,10/8/2021,8/13/2021,9/13/2021,10/13/2021
464609,AZ,INDIVIDUAL,3 years,Mesa Fire Department,A,MORTGAGE,Fully Paid,582432,car,A2, 36 months,Not Verified,60000,0.1004,62.12,0.074,2000,14,2036,9/12/2021,5/16/2021,10/3/2021,10/4/2021
1050642,OH,INDIVIDUAL,3 years,Ares Inc.,A,MORTGAGE,Fully Paid,1281883,car,A2, 36 months,Not Verified,62352,0.1207,116.68,0.0662,3800,24,4187,11/12/2021,6/14/2021,6/14/2021,7/14/2021
710680,PA,INDIVIDUAL,3 years,Lonza Inc,A,MORTGAGE,Fully Paid,903454,car,A2, 36 months,Not Verified,54000,0.1129,151.64,0.0579,5000,20,5459,11/3/2021,4/14/2021,4/14/2021,5/14/2021
390765,MD,INDIVIDUAL,3 years,Rummel  Klepper  and  Kahl,A,MORTGAGE,Fully Paid,426115,car,A3, 36 months,Not Verified,60000,0.0036,313.37,0.08,10000,11,10513,9/4/2021,10/3/2021,10/2/2021,10/3/2021
1026512,TX,INDIVIDUAL,4 years,Aramark,A,MORTGAGE,Fully Paid,1255698,car,A1, 36 months,Not Verified,66000,0.0118,91.31,0.0603,3000,23,3287,11/11/2021,11/14/2021,12/14/2021,1/14/2022
471543,FL,INDIVIDUAL,4 years,Sarasota Memorial Hospital,A,MORTGAGE,Fully Paid,595343,car,A1, 36 months,Not Verified,241875,0.064,494.4,0.0705,16000,24,17370,9/12/2021,11/8/2021,11/8/2021,11/9/2021
873529,NY,INDIVIDUAL,4 years,Jefferson Lewis BOCES,A,MORTGAGE,Fully Paid,1087835,car,A1, 36 months,Not Verified,24000,0.067,39.21,0.0542,1300,46,1411,11/9/2021,9/15/2021,9/14/2021,10/14/2021
